sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
中山,臺北市,48,,良好,0.3,0.5,8.5,13.8,28,14,29.6,32.5,2.8,1.6,144,"2022/12/22 01:00:00",0.5,13,27,,121.526528,25.062361,12
萬華,臺北市,48,,良好,1.6,0.46,11.6,10.3,23,12,23.1,25.3,2.2,1.1,148,"2022/12/22 01:00:00",0.5,14,27,2,121.507972,25.046503,13
古亭,臺北市,53,細懸浮微粒,普通,0.4,0.37,8.5,7.5,27,15,18.7,21,2.2,1.2,132,"2022/12/22 01:00:00",0.5,16,25,0,121.529556,25.020608,14
松山,臺北市,45,,良好,1.4,0.46,5,19.7,27,12,26.7,30,3.3,0.3,64,"2022/12/22 01:00:00",0.4,13,33,1,121.578611,25.05,15
大同,臺北市,57,細懸浮微粒,普通,1.6,1.3,1.8,3.9,34,12,33,61.6,28.6,-,-,"2022/12/22 01:00:00",1.8,17,36,1,121.51342074,25.06331455,16
桃園,桃園市,64,細懸浮微粒,普通,9.6,0.5,17.3,13.9,38,19,23.1,24.7,1.6,0.6,82,"2022/12/22 01:00:00",0.6,20,36,2,121.30500531,24.9947107,17
大園,桃園市,56,二氧化氮,普通,2.3,0.56,1.5,22.7,41,21,38.7,68.3,29.6,2.5,114,"2022/12/22 01:00:00",0.3,15,34,1,121.20251473,25.06100357,18
觀音,桃園市,49,,良好,2.7,0.46,11.3,32.9,45,20,29.1,29.8,0.7,2.7,92,"2022/12/22 01:00:00",0.2,15,33,1,121.08283092,25.03556747,19
平鎮,桃園市,60,細懸浮微粒,普通,0.9,0.34,26.9,20.9,36,20,18.6,19.2,0.6,1.3,101,"2022/12/22 01:00:00",0.5,19,31,1,121.203986,24.952786,20
龍潭,桃園市,31,,良好,2.6,0.23,26.5,21.4,22,10,10.7,11.9,1.1,1.4,102,"2022/12/22 01:00:00",0.3,9,23,4,121.21645772,24.86400048,21
湖口,新竹縣,54,細懸浮微粒,普通,3.4,0.25,30.2,25.7,36,14,11.6,12.5,0.9,2,84,"2022/12/22 01:00:00",0.3,16,32,2,121.03886894,24.90009696,22
竹東,新竹縣,51,細懸浮微粒,普通,0.8,0.18,22,23.9,15,13,3.5,4,0.5,1.6,167,"2022/12/22 01:00:00",0.2,15,18,1,121.08895493,24.74091408,23
新竹,新竹市,53,細懸浮微粒,普通,2.2,0.22,37.5,23.6,30,14,8.1,8.6,0.4,1.8,53,"2022/12/22 01:00:00",0.3,16,29,1,120.97236752,24.8056356,24
頭份,苗栗縣,52,細懸浮微粒,普通,1.6,0.22,28,27.8,26,15,13.9,15.4,1.4,2.6,59,"2022/12/22 01:00:00",0.2,16,25,1,120.89869286,24.69690679,25
苗栗,苗栗縣,52,細懸浮微粒,普通,2.9,0.2,30,29.8,22,12,7.7,9.3,1.6,3,5,"2022/12/22 01:00:00",0.2,15,22,1,120.82011468,24.56499183,26
三義,苗栗縣,36,,良好,1.1,0.19,37.7,36.4,14,8,3.9,4.5,0.5,5.6,23,"2022/12/22 01:00:00",0.2,11,16,1,120.75956754,24.38248443,27
豐原,臺中市,34,,良好,1.5,0.18,30.7,25.7,16,12,3,3.6,0.6,1.1,31,"2022/12/22 01:00:00",0.2,10,15,1,120.74252414,24.25699731,28
沙鹿,臺中市,43,,良好,1.5,0.2,39.6,36.5,24,17,4.6,5.3,0.7,4.7,4,"2022/12/22 01:00:00",0.2,13,24,1,120.568794,24.225628,29
大里,臺中市,26,,良好,1.2,0.22,36.2,25.9,10,9,6.6,7.1,0.4,1.8,4,"2022/12/22 01:00:00",0.3,7,18,1,120.67844444,24.09961111,30
忠明,臺中市,39,,良好,1.4,0.23,40.2,32.3,16,9,5.9,6,0,1.8,18,"2022/12/22 01:00:00",0.2,12,22,1,120.641092,24.151958,31
