SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
永和,新北市,23,,良好,1.5,0.66,0.8,31,25,3,2,7.9,9.2,1.3,1.6,118,2019-12-19 01:00,4,7,2,121.516306,25.017,70
竹山,南投縣,88,細懸浮微粒,普通,2.4,0.64,0.6,2,13,49,26,25,29,3.8,0.5,327,2019-12-19 01:00,31,57,1,120.677306,23.756389,69
中壢,桃園市,27,,良好,2.6,0.73,1.0,19,13,10,6,17,19,2.2,0.8,33,2019-12-19 01:00,8,14,4,121.221667,24.953278,68
三重,新北市,20,,良好,1,1.16,1.6,-,,6,3,21,42,21,,,2019-12-19 01:00,6,10,2,121.493806,25.072611,67
冬山,宜蘭縣,25,,良好,1.1,0.32,0.5,34,27,7,2,3.1,3.9,0.8,2.3,230,2019-12-19 01:00,3,7,1,121.792928,24.632203,66
宜蘭,宜蘭縣,28,,良好,1.5,0.4,0.5,27,30,4,ND,3,3.7,0.7,0.7,239,2019-12-19 01:00,3,6,1,121.746394,24.747917,65
陽明,臺北市,32,,良好,1,0.49,0.5,35,35,2,ND,0.8,1.1,0.3,,,2019-12-19 01:00,1,5,1,121.529583,25.182722,64
花蓮,花蓮縣,25,,良好,0.6,0.42,0.5,18,27,15,4,6.9,8.5,1.6,0.5,194,2019-12-19 01:00,4,13,1,121.599769,23.971306,63
臺東,臺東縣,31,,良好,0.7,0.31,0.4,29,34,16,3,3.6,3.2,-0.3,1.1,311,2019-12-19 01:00,7,18,1,121.15045,22.755358,62
恆春,屏東縣,27,,良好,1.1,0.19,0.1,34,29,12,4,1.8,2.5,0.6,3.1,33,2019-12-19 01:00,6,12,1,120.788928,21.958069,61
潮州,屏東縣,97,細懸浮微粒,普通,2,0.43,0.3,14,46,80,35,13,13,0.5,0.4,88,2019-12-19 01:00,34,70,3,120.561175,22.523108,60
屏東,屏東縣,93,細懸浮微粒,普通,3,0.49,0.6,20,33,74,38,14,15,0.9,0.8,312,2019-12-19 01:00,33,76,3,120.488033,22.673081,59
小港,高雄市,104,細懸浮微粒,對敏感族群不健康,3.4,0.65,0.8,8.1,20,76,44,22,25,2.6,0.8,28,2019-12-19 01:00,37,76,3,120.337736,22.565833,58
前鎮,高雄市,100,細懸浮微粒,普通,3.5,0.66,0.8,8.8,22,66,42,21,24,3.4,1.9,4.8,2019-12-19 01:00,35,72,4,120.307564,22.605386,57
前金,高雄市,102,細懸浮微粒,對敏感族群不健康,3.5,0.7,0.6,7.4,27,74,37,19,23,3.4,2.6,348,2019-12-19 01:00,36,73,3,120.288086,22.632567,56
